full_address,latitude,longitude,postal_code
108 ANG MO KIO AVE 4,1.37096635222625,103.838201940326,560108
218 ANG MO KIO AVE 1,1.36511908595886,103.841742478489,560218
571 ANG MO KIO AVE 3,1.37005501296043,103.85488055876,560571
447 ANG MO KIO AVE 10,1.36747901420817,103.855967139125,560447
534 ANG MO KIO AVE 10,1.37405846295585,103.854168170426,560534
536 ANG MO KIO AVE 10,1.37447378519738,103.854100515826,560536
465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235,560465
150 ANG MO KIO AVE 5,1.37680678506745,103.842017962576,560150
602 ANG MO KIO AVE 5,1.38070883044887,103.835368226602,560602
233 ANG MO KIO AVE 3,1.36754924977907,103.836740628478,560233
219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612,560219
601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823,560601
235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351,560235
230 ANG MO KIO AVE 3,1.36885445228086,103.837896397823,560230
406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407,560406
624 ANG MO KIO AVE 4,1.38156171229824,103.84000226873,560624
570 ANG MO KIO AVE 3,1.3697435855576,103.856023138277,560570
441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853,560441
625 ANG MO KIO AVE 9,1.38219867741921,103.841211533475,560625
333 ANG MO KIO AVE 1,1.3613425564061,103.851698621454,560333
211 ANG MO KIO AVE 3,1.369196965617,103.841666636086,560211
255 ANG MO KIO AVE 4,1.37065487078854,103.834630215787,560255
302 ANG MO KIO AVE 3,1.36708983179046,103.845660199054,560302
584 ANG MO KIO AVE 3,1.37071307985916,103.853497803014,560584
557 ANG MO KIO AVE 10,1.3716257020332,103.857736107527,560557
432 ANG MO KIO AVE 10,1.36830996981351,103.853600305664,560432
256 ANG MO KIO AVE 4,1.37061517595951,103.83596769452,560256
119 ANG MO KIO AVE 3,1.36956344301912,103.844698910817,560119
330 ANG MO KIO AVE 1,1.36243186402478,103.851030689651,560330
118 ANG MO KIO AVE 4,1.37329593649654,103.835475719134,560118
575 ANG MO KIO AVE 10,1.37138855070768,103.855953346739,560575
509 ANG MO KIO AVE 8,1.37400086510074,103.850139806283,560509
629 ANG MO KIO AVE 4,1.380104749906,103.840408652998,560629
472 ANG MO KIO AVE 10,1.36314392666998,103.858118593427,560472
475 ANG MO KIO AVE 10,1.36266297827625,103.85651592319,560475
546 ANG MO KIO AVE 10,1.37365123866689,103.857022220393,560546
463 ANG MO KIO AVE 10,1.36694793518613,103.857487648675,560463
470 ANG MO KIO AVE 10,1.36408620030202,103.856692408941,560470
304 ANG MO KIO AVE 1,1.36628642816469,103.8449947612,560304
207 ANG MO KIO AVE 1,1.36582089504381,103.842847772078,560207
646 ANG MO KIO AVE 6,1.37939517687868,103.843763599411,560646
131 ANG MO KIO AVE 3,1.37101536386003,103.841800323712,560131
254 ANG MO KIO AVE 4,1.37020344042146,103.834687722549,560254
588C ANG MO KIO ST 52,1.37183157010083,103.853670978083,563588
328 ANG MO KIO AVE 3,1.36661793708764,103.84786688518,560328
430 ANG MO KIO AVE 3,1.36899287777802,103.85276134968,560430
520 ANG MO KIO AVE 5,1.3734054063175,103.851134219635,560520
101 ANG MO KIO AVE 3,1.37026158388486,103.839467898898,560101
716 ANG MO KIO AVE 6,1.37147783065153,103.845868750998,560716
613 ANG MO KIO AVE 4,1.37845661566039,103.839292714848,560613
