hawker_name,hawker_lat,hawker_lng,hawker_postal_code,hawker_status,hawker_stall_count,hawker_original_completion_year,hawker_hup_completion_date,hawker_description
Commonwealth Crescent Market,1.30690013,103.80036727,149644,Existing,39,1965,18/08/2004,HUP Rebuilding
Golden Mile Food Centre,1.30314175,103.86387762,199583,Existing,112,1975,04/07/2002,HUP Standard Upgrading
Adam Road Food Centre,1.32415985,103.81416592,289876,Existing,32,1974,30/04/2002,HUP Standard Upgrading
Dunman Food Centre,1.30941789,103.90182541,424768,Existing,30,1974,03/12/2002,HUP Standard Upgrading
Kallang Estate Fresh Market and Food Centre,1.30734398,103.8840177,397972,Existing,16,1959,31/10/2003,HUP Standard Upgrading
Beo Crescent Market,1.28883089,103.82735389,169982,Existing,32,1965,18/01/2010,HUP Standard Upgrading
Newton Food Centre,1.31191552,103.83956973,229495,Existing,83,1971,12/06/2006,HUP Standard Upgrading
Jurong West Street 52 Blk 505,1.34965729,103.71844368,640505,Existing,60,1985-01-16,02/01/2009,HUP Standard Upgrading
New Market Road Blk 32 (People's Park Food Centre),1.28485861,103.84257877,050032,Existing,87,1965,27/12/2005,HUP Standard Upgrading
Marine Terrace Blk 50A (50A Marine Terrace),1.30572974,103.91573704,441050,Existing,24,1975-03-03,22/12/2008,HUP Standard Upgrading
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.34348819,103.73773841,600254,Existing,60,1983-04-30,05/07/2006,HUP Reconfiguration
Holland Village Market and Food Centre,1.31107297,103.79487642,277700,Existing,21,Pre-War,12/12/2005,HUP Rebuilding
North Bridge Road Market,1.30563434,103.86390934,198783,Existing,37,1973,17/10/2005,HUP Reconfiguration
Chomp Chomp Food Centre,1.36423253,103.86652702,557269,Existing,36,1972,31/03/2004,HUP Standard Upgrading
Redhill Lane Blk 85 (Redhill Food Centre),1.28730751,103.8183112,150085,Existing,96,1972-04-04,17/06/2005,HUP Reconfiguration
Redhill Lane Blk 79 (Redhill Market),1.28784317,103.8183521,150079,Existing,0,1969-01-01,28/06/2005,HUP Reconfiguration
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.30825185,103.88580871,390051,Existing,168,1973-02-17,12/06/2007,HUP Standard Upgrading
New Upper Changi Road Blk 58,1.32420087,103.94112528,461058,Existing,48,1978-02-27,16/09/2008,HUP Standard Upgrading
Mei Chin Road Blk 159 (Mei Chin Road Market),1.29323624,103.80290387,140159,Existing,47,1970-10-12,08/05/2009,HUP Reconfiguration
Queen Street Blk 270 (Albert Centre),1.30110202,103.85411578,180270,Existing,86,1978-08-07,26/11/2009,HUP Standard Upgrading
Marsiling Lane Blk 20/21,1.44341624,103.7770061,730020,Existing,52,1975-09-15,02/03/2009,HUP Standard Upgrading
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.34537347,103.94462942,521137,Existing,45,1982-11-30,08/01/2006,HUP Reconfiguration
Telok Blangah Drive Blk 82 (Telok Blangah Market),1.27389077,103.80790034,100082,Existing,0,1977-05-30,29/11/2011,HUP Standard Upgrading
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.32083109,103.74274812,601037,Existing,28,1976-11-01,03/01/2008,HUP Rebuilding
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.27335599,103.80761813,100079,Existing,40,1977-05-30,20/08/2005,HUP Standard Upgrading
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.31703502,103.87930986,380049,Existing,66,1976-09-20,15/11/2006,HUP Reconfiguration
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.27276129,103.82236354,090036,Existing,24,1975-10-29,20/10/2010,HUP Standard Upgrading
Smith Street Blk 335 (Chinatown Complex Market),1.28227496,103.84323852,050335,Existing,226,1983-05-31,30/04/2008,HUP Reconfiguration
Taman Jurong Market and Food Centre,1.33472107,103.7215838,618499,Existing,122,2005-03-23,23/03/2005,HUP Rebuilding
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.33538261,103.85700371,310022,Existing,61,1970-03-02,16/07/2004,HUP Reconfiguration
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.27661367,103.84316168,081006,Existing,52,1977-04-18,27/12/2013,HUP Standard Upgrading
Toa Payoh Lorong 5 Blk 75,1.33602077,103.85295699,310075,Existing,36,1968-02-05,21/11/2012,HUP Standard Upgrading
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.33810351,103.84473273,310127,Existing,40,1969-03-11,11/12/2003,HUP Reconfiguration
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.33455075,103.85200351,310074,Existing,10,1968-09-09,01/11/2004,HUP Reconfiguration
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.27736813,103.81865152,090011,Existing,56,1974-10-19,15/01/2010,HUP Standard Upgrading
Toa Payoh Lorong 4 Blk 93,1.3384747,103.84951345,310093,Existing,28,1967-07-19,20/07/2009,HUP Standard Upgrading
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.37277209,103.85445796,560527,Existing,50,1979-12-24,21/02/2004,HUP Reconfiguration
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.37452774,103.83917606,560160,Existing,40,1981-06-30,31/12/2008,HUP Standard Upgrading
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.36680096,103.83915227,564226,Existing,10,1976-10-13,20/01/2010,HUP Standard Upgrading
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.36719654,103.84002222,568226,Existing,29,1976-09-30,13/12/2003,HUP Reconfiguration
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.36265411,103.8552883,560409,Existing,40,1979-07-31,28/11/2011,HUP Standard Upgrading
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.37217259,103.84651031,560724,Existing,45,1980-01-31,02/01/2008,HUP Reconfiguration
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.36824779,103.85636165,561453,Existing,39,1979-04-11,01/01/2002,HUP Standard Upgrading
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.38098762,103.84062809,560628,Existing,52,1979-12-31,16/12/2009,HUP Rebuilding
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.30618664,103.85058557,210665,Existing,119,1980-10-31,30/06/2009,HUP Standard Upgrading
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31921668,103.86302092,330029,Existing,88,1971-03-17,31/12/2004,HUP Standard Upgrading
Bedok South Road Blk 16,1.32050084,103.93547364,460016,Existing,64,1975-05-12,20/09/2012,HUP Standard Upgrading
Bedok North Street 1 Blk 216,1.32706274,103.93321797,460216,Existing,82,1979-08-21,15/12/2008,HUP Standard Upgrading
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.33200482,103.93876844,460085,Existing,72,1977-06-30,20/12/2012,HUP Standard Upgrading
