school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,738907,No,No,No,1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,737916,No,No,No,1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,768643,No,No,No,1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,768928,No,No,No,1.43605975368804,103.829718690077
AI TONG SCHOOL,579646,Yes,No,No,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,159016,No,No,No,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,544969,No,No,No,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,569785,No,No,No,1.38426429436736,103.841392081119
ANDERSON SECONDARY SCHOOL,569206,No,Yes,No,1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,534768,No,No,No,1.36504342002442,103.887038809373
ANG MO KIO PRIMARY SCHOOL,569920,No,No,No,1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,569362,No,No,No,1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,487012,Yes,Yes,No,1.33118107926966,103.941853465631
ANGLO-CHINESE JUNIOR COLLEGE,139745,No,No,No,1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,No,No,No,1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,No,No,Yes,1.30370409257783,103.780363417671
ANGLO-CHINESE SCHOOL (JUNIOR),227988,No,No,No,1.30935041274966,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),309918,No,No,No,1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,528565,No,No,No,1.36360590588314,103.9389409004
ASSUMPTION ENGLISH SCHOOL,678117,No,No,No,1.36838160662857,103.766687526556
ASSUMPTION PATHWAY SCHOOL,679697,No,No,No,1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,538403,No,No,No,1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,679944,No,No,No,1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,318990,No,No,No,1.341790284928,103.852280842345
BEDOK GREEN PRIMARY SCHOOL,469317,No,No,No,1.32344593287992,103.937878976352
BEDOK GREEN SECONDARY SCHOOL,469722,No,No,No,1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,468585,No,No,No,1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,469293,No,No,No,1.32415704029686,103.943776245024
BENDEMEER PRIMARY SCHOOL,339948,No,No,No,1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,327919,No,No,No,1.32461111307996,103.860970284401
BLANGAH RISE PRIMARY SCHOOL,109100,No,No,No,1.27612047924037,103.808628535239
BOON LAY GARDEN PRIMARY SCHOOL,649930,No,No,No,1.34317853793318,103.713280889452
BOON LAY SECONDARY SCHOOL,648354,No,No,No,1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,547529,No,No,No,1.37035994436209,103.877659577677
BROADRICK SECONDARY SCHOOL,399935,No,No,No,1.30705061123433,103.886917922608
BUKIT BATOK SECONDARY SCHOOL,658962,No,No,No,1.34849111079052,103.74087370482
BUKIT MERAH SECONDARY SCHOOL,159050,No,No,No,1.28569283064288,103.813438929393
BUKIT PANJANG GOVT. HIGH SCHOOL,689809,No,Yes,No,1.38224243360043,103.738361221869
BUKIT PANJANG PRIMARY SCHOOL,679676,No,No,No,1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,598112,No,No,No,1.3372995575169,103.766828720721
BUKIT VIEW PRIMARY SCHOOL,659634,No,No,No,1.34586054788695,103.75366641455
BUKIT VIEW SECONDARY SCHOOL,659633,No,No,No,1.3457330554294,103.752226593984
CANBERRA PRIMARY SCHOOL,757714,No,No,No,1.45125024371543,103.815858858929
CANBERRA SECONDARY SCHOOL,757699,No,No,No,1.45319086315972,103.814203583818
CANOSSA CATHOLIC PRIMARY SCHOOL,387621,No,No,No,1.32664424544839,103.882227964852
CANTONMENT PRIMARY SCHOOL,88256,No,No,No,1.27547252623201,103.839962631748
CASUARINA PRIMARY SCHOOL,518935,No,No,No,1.37246063927999,103.957020286115
CATHOLIC HIGH SCHOOL,579767,Yes,Yes,Yes,1.35452517065756,103.844900804804
