name,lat,lon
100AM,1.274904,103.8436136
18 Tai Seng,1.3362972,103.8888324
313@Somerset,1.3010177,103.8382874
888 Plaza,1.4378145,103.7952897
Admiralty Place,1.4402582,103.8012976
Alexandra Central,1.2873166,103.8053276
Alexandra Retail Centre,1.2738572,103.8014062
Anchorpoint,1.2886901,103.8050249
Ang Mo Kio Hub,1.369444,103.8483419
Aperia Mall,1.3102913,103.8639739
Balestier Plaza,1.3257275,103.8503807
Balmoral Plaza,1.3164924,103.8354561
Beauty World Centre,1.3423587,103.7765589
Beauty World Plaza,1.3418287,103.7763037
Bedok Mall,1.3248368,103.929246
Bencoolen,1.2984401,103.8499177
Bencoolen Underground Mall,1.2981814,103.8496472
Big Block,1.2925509,103.8389758
Boon Lay Shopping Centre,1.3463274,103.7124831
Bras Basah Complex,1.2968252,103.8536294
Broadway Plaza,1.3719352,103.8459597
Buangkok Square Mall,1.3842992,103.8816182
Bugis Junction,1.2998158,103.8559023
Bugis+,1.2996734,103.8541655
Bukit Panjang Plaza,1.3800081,103.7643116
Bukit Timah Shopping Center,1.3432601,103.7760509
Canberra Plaza,1.4431827,103.8305208
Cathay Cineleisure Orchard,1.3014619,103.8364924
Causeway Point,1.4360803,103.7860055
Century Square,1.3523775,103.9438195
Changi Airport Terminal 1,1.3627078,103.9910807
Changi Airport Terminal 2,1.3537945,103.9904486
Changi Airport Terminal 3,1.3546069,103.9850767
Changi City Point,1.3340177,103.9630451
City Plaza,1.3147731,103.8934464
City Square Mall,1.3113867,103.8565834
CityLink Mall,1.2922036,103.8545385
Clarke Quay Central,1.2889993,103.8461796
Clementi 321,1.3119852,103.7650214
Cluny Court,1.3226411,103.814272
Compass One,1.392017,103.8949564
Concorde Shopping Centre,1.2889501,103.8342288
Coronation Plaza,1.3237824,103.8100055
Dairy Farm Mall,1.3660137,103.7750268
Dawson Place,1.2926708,103.8110959
Delfi Orchard,1.3071812,103.8284739
Depot Heights Shopping Centre,1.2811645,103.8103282
Design Orchard,1.3020646,103.8379302
Djitsun Mall Bedok,1.3261293,103.9295546
Downtown East,1.3773417,103.9545899
Downtown Gallery,1.2769037,103.8483666
Duo Residences,1.2998789,103.8586495
East Point,1.3427269,103.9529868
Eastlink Mall,1.3543667,103.9442778
Elias Mall,1.3785776,103.942013
Esplanade Xchange,1.2926076,103.8550321
Excelsior Shopping Centre,1.2920995,103.8496887
Fairprice Hub,1.3260464,103.6783782
Fajar Shopping Centre,1.3838176,103.770853
Far East Plaza,1.3071357,103.833913
Far East Shopping Centre,1.3055354,103.8300911
Fortune Centre,1.3003923,103.852284
Forum The Shopping Mall,1.3060918,103.8287068
Funan,1.2913892,103.8499874
Fusionopolis 1,1.2992432,103.7875698
GR.ID,1.3001326,103.8493281
Gek Poh Shopping Centre,1.3490591,103.6977387
Grandlink Square,1.3142925,103.8915347
Grantral Mall @ Clementi,1.3142963,103.7651379
Great World City,1.2936086,103.8318929
Greenridge Shopping Centre,1.3853423,103.7662295
Greenwich V,1.3875058,103.869389
