name,category,lat,lon,brand,address,website,phone
The Star Vista,mall,1.3080015,103.7883825,,Vista Exchange Green,,
Bencoolen Underground Mall,mall,1.2981814,103.8496472,,,,
Bencoolen Underground Mall,mall,1.2992237,103.8507551,,,,
Katong V,mall,1.3031334,103.9032312,,Marine Parade Road,,
The Poiz Centre,mall,1.331436,103.8685709,,Upper Serangoon Road,https://thepoizcentre.com.sg/,
Clarke Quay Central,mall,1.2889993,103.8461796,,Eu Tong Sen St,https://www.fareastmalls.com.sg/clarke-quay-central,+65 6532 9922
Excelsior Shopping Centre,mall,1.2920995,103.8496887,,,,
Changi Airport Terminal 1,mall,1.3627078,103.9910807,,Airport Boulevard,,
Sim Lim Square,mall,1.3030332,103.8530255,,Rochor Canal Road,,
Broadway Plaza,mall,1.3719352,103.8459597,,Ang Mo Kio Avenue 6,,
Compass One,mall,1.392017,103.8949564,,Sengkang Square,https://compassone.sg/,+65 6819 0733
Rivervale Plaza,mall,1.3853329,103.9019719,,Rivervale Drive,,
Rivervale Mall,mall,1.3922311,103.9044753,,Rivervale Crescent,,
Hougang Green Shopping Mall,mall,1.3792878,103.8879261,,,,
Hougang Mall,mall,1.3724413,103.8937329,,Hougang Avenue 10,https://www.hougangmall.com.sg/,+65 6487 4155
Heartland Mall,mall,1.3594964,103.8852025,,Hougang Street 21,,
IMM,mall,1.3347654,103.7466237,,Jurong East Street 21,http://www.imm.sg/,
White Sands,mall,1.3724456,103.9497597,,Pasir Ris Central Street 3,https://www.whitesands.com.sg/,+65 6585 0606
Jubilee Square,mall,1.3717801,103.8477747,,Ang Mo Kio Avenue 8,,
Raffles City Shopping Centre,mall,1.2938989,103.8533513,,North Bridge Road,http://www.rafflescity.com.sg/,+65 6318 0238
Shaw House,mall,1.3058286,103.8315296,,Orchard Road,,
Orchard Central,mall,1.3006418,103.8398031,,Orchard Road,http://www.orchardcentral.com.sg/,+65 6238 1051
Palais Renaissance,mall,1.3067203,103.8296522,,Orchard Road,,
Orchard Towers,mall,1.3069608,103.82921,,Orchard Road,,
