supermarket_name,supermarket_lat,supermarket_lng,block_house,street_name,unit_number,postcode
7SEVEN PTE. LTD.,1.45605972594988,103.786436916899,51,NORTH COAST AVENUE,3,756992
ABEDIN TRADING PTE. LTD.,1.31420654866153,103.886699759329,599,GEYLANG ROAD,1,389538
AJMAL SUPER MART PTE. LTD.,1.31396452002226,103.625764663231,70,TUAS SOUTH AVENUE 1,40,637285
AJMAL TRADE MART PTE. LTD.,1.40631204506347,103.76056171553,23,MANDAI ESTATE,21,729937
AJMAL TRADE MART PTE. LTD.,1.43069358938447,103.759237297885,12,KRANJI ROAD,,739522
AJMAL TRADING GROUP PTE. LTD.,1.46152554782754,103.809438952915,2,WOODLANDS SECTOR 2,5,737723
AJMAL TRADING GROUP PTE. LTD.,1.32210836314021,103.727480745718,5,JALAN PAPAN,32,619396
AL MARCHE PTE LTD,1.28076944309971,103.852658565645,2,MARINA BOULEVARD,5,18987
ALTERNATIVE SELECTION PTE. LTD.,1.33661474902075,103.786969223738,29,BINJAI PARK,,589831
ANG KEN CHUA,1.38062798479668,103.741520112804,410,CHOA CHU KANG AVENUE 3,341,680410
ANG MO SUPERMARKET PTE LTD,1.39946117297002,103.916054504161,639,PUNGGOL DRIVE,1,820639
ANG MO SUPERMARKET PTE LTD,1.37170342503995,103.879938988612,642,HOUGANG AVENUE 8,197,530642
AP HOUSE PTE. LTD.,1.27830730320321,103.850795182002,12,MARINA VIEW,6/8,18961
ARCHANA PROVISION STORES PTE. LTD,1.31923811377776,103.732882480415,27,PENJURU WALK,6/7,608538
ARCHANA SUPERMARKET PTE. LTD.,1.32048426082957,103.726722841969,1,JALAN PAPAN,29,619392
AZ SUPERMART PTE. LTD.,1.33809673913723,103.909946665207,21,KAKI BUKIT AVENUE 3,,415920
B & S MINI MART PTE. LTD.,1.31245104539871,103.87962231543,310,GEYLANG ROAD,,389349
BALASUBRAMANIYAN KANNADASAN,1.43594535916514,103.754008429832,257,KRANJI ROAD,,739503
BANGLADESH SUPER MARKET PTE. LTD.,1.45343693357051,103.832526372151,1024,SEMBAWANG ROAD,,758498
BHANDARI INTERNATIONAL PTE. LTD.,1.45132505304739,103.791095177079,280,WOODLANDS INDUSTRIAL PARK E5 (PART OF),47,757322
BISMILLAH MINIMART PTE. LTD.,1.40754324060913,103.758094978446,32,MANDAI ESTATE,2,729939
BLUEWATER SEAFOOD PTE. LTD.,1.30344597442988,103.80938167216,8D,DEMPSEY ROAD,1,249672
CAVEMEN PTE. LTD.,1.32696540868721,103.843674239785,1,JALAN DUSUN,9/10,329363
CHD @ SOON LEE PTE. LTD.,1.33212290136628,103.699070270739,51,SOON LEE ROAD,51A,628088
"CHEE MIN KUAN, SIMON",1.30373373435466,103.896498243508,342,TANJONG KATONG ROAD,,437112
CHENNAI TRADING & SUPERMART PTE. LTD.,1.32048426082957,103.726722841969,1,JALAN PAPAN,35,619392
CHUA & NG PTE. LTD.,1.33205094619271,103.914145078086,632,BEDOK RESERVOIR ROAD,824,470632
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30484344487426,103.823852799187,163,TANGLIN ROAD,2/3,247933
COLD STORAGE SINGAPORE (1983) PTE LTD,1.32325040085144,103.767260053848,41,SUNSET WAY,01A,597071
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30222178109552,103.876152670397,5,STADIUM WALK,1,397693
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30982227398559,103.902232496984,291,JOO CHIAT ROAD,1,427543
COLD STORAGE SINGAPORE (1983) PTE LTD,1.3733212172841,103.886365538231,683,HOUGANG AVENUE 8,903,530683
COLD STORAGE SINGAPORE (1983) PTE LTD,1.32021101601675,103.843656771807,238,THOMSON ROAD,28/29,307683
COLD STORAGE SINGAPORE (1983) PTE LTD,1.3329587272309,103.914941831132,631,BEDOK RESERVOIR ROAD,954,470631
COLD STORAGE SINGAPORE (1983) PTE LTD,1.37264569542777,103.853890711284,525,ANG MO KIO AVENUE 10,2401,560525
COLD STORAGE SINGAPORE (1983) PTE LTD,1.43600783793646,103.785688733844,1,WOODLANDS SQUARE,31/32,738099
COLD STORAGE SINGAPORE (1983) PTE LTD,1.2886146910195,103.805009970565,370,ALEXANDRA ROAD,3/7,159953
COLD STORAGE SINGAPORE (1983) PTE LTD,1.43576080071655,103.836723882475,291,YISHUN STREET 22,389/3,760291
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30119131472187,103.905113590458,80,MARINE PARADE ROAD,27/62,449269
COLD STORAGE SINGAPORE (1983) PTE LTD,1.31867575851382,103.892550605327,60,PAYA LEBAR ROAD,1/5,409051
COLD STORAGE SINGAPORE (1983) PTE LTD,1.35949663830554,103.885079928732,205,HOUGANG STREET 21,133,530205
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30974242012866,103.864101650514,12,KALLANG AVENUE,47,339511
COLD STORAGE SINGAPORE (1983) PTE LTD,1.42969848150358,103.835776497586,930,YISHUN AVENUE 2,6/7,769098
COLD STORAGE SINGAPORE (1983) PTE LTD,1.29929406658312,103.787404060028,1,FUSIONOPOLIS WAY,3,138632
COLD STORAGE SINGAPORE (1983) PTE LTD,1.31469214115978,103.894480527876,11,TANJONG KATONG ROAD,36,437157
COLD STORAGE SINGAPORE (1983) PTE LTD,1.34922418771454,103.934912522809,829,TAMPINES STREET 81,284/8,520829
COLD STORAGE SINGAPORE (1983) PTE LTD,1.29380236091495,103.831757911005,1,KIM SENG PROMENADE,18/19,237994
COLD STORAGE SINGAPORE (1983) PTE LTD,1.29225958853816,103.842561031003,81,CLEMENCEAU AVENUE,18,239917
COLD STORAGE SINGAPORE (1983) PTE LTD,1.27737236043423,103.852844804264,5,STRAITS VIEW,15/16,18935
COLD STORAGE SINGAPORE (1983) PTE LTD,1.31943617521461,103.82734585139,383,BUKIT TIMAH ROAD,09A,259727
COLD STORAGE SINGAPORE (1983) PTE LTD,1.35067551423916,103.871861623795,23,SERANGOON CENTRAL,44/45,556083
